13:28:43:179 | INFO  | o.h.v.i.util.Version | HV000001: Hibernate Validator 5.2.4.Final
13:29:21:125 | INFO  | o.h.v.i.util.Version | HV000001: Hibernate Validator 5.2.4.Final
13:29:39:272 | INFO  | o.h.v.i.util.Version | HV000001: Hibernate Validator 5.2.4.Final
13:34:15:524 | INFO  | o.h.v.i.util.Version | HV000001: Hibernate Validator 5.2.4.Final
13:35:14:754 | INFO  | o.h.v.i.util.Version | HV000001: Hibernate Validator 5.2.4.Final
13:46:35:845 | INFO  | o.h.v.i.util.Version | HV000001: Hibernate Validator 5.2.4.Final
13:54:22:560 | INFO  | o.h.v.i.util.Version | HV000001: Hibernate Validator 5.2.4.Final
14:07:10:161 | INFO  | o.h.v.i.util.Version | HV000001: Hibernate Validator 5.2.4.Final
14:11:18:362 | INFO  | o.h.v.i.util.Version | HV000001: Hibernate Validator 5.2.4.Final
14:12:03:940 | INFO  | o.h.v.i.util.Version | HV000001: Hibernate Validator 5.2.4.Final
14:12:41:626 | INFO  | o.h.v.i.util.Version | HV000001: Hibernate Validator 5.2.4.Final
14:16:21:384 | INFO  | o.h.v.i.util.Version | HV000001: Hibernate Validator 5.2.4.Final
14:20:15:649 | INFO  | o.h.v.i.util.Version | HV000001: Hibernate Validator 5.2.4.Final
16:20:55:374 | INFO  | o.h.v.i.util.Version | HV000001: Hibernate Validator 5.2.4.Final
